age,gender,competition_level,vo2max,training_frequency,strength_frequency,weekly_distance,monthly_distance,long_run_distance,target_time_seconds,distance_km,target_pace,vdot
22.0,0,1.0,85,9,3,160,693,32,195,1.5,130.0,84.8
22.0,0,1.0,83,9,3,155,671,31,198,1.5,132.0,83.2
23.0,0,1.0,82,9,3,150,650,30,201,1.5,134.0,81.7
23.0,0,1.0,80,8,3,146,632,29,204,1.5,136.0,80.2
23.0,0,1.0,79,8,3,142,615,28,207,1.5,138.0,78.8
24.0,0,1.0,77,8,3,138,598,28,210,1.5,140.0,77.4
24.0,0,1.0,76,8,3,134,580,27,213,1.5,142.0,76.0
24.0,0,1.0,75,7,2,130,563,26,216,1.5,144.0,74.7
25.0,0,1.0,73,7,2,126,546,25,219,1.5,146.0,73.4
25.0,0,1.0,72,7,2,122,528,24,222,1.5,148.0,72.1
21.0,0,1.0,71,7,2,118,511,24,225,1.5,150.0,70.9
21.0,0,1.0,70,7,2,114,494,23,228,1.5,152.0,69.7
21.0,0,1.0,69,6,2,110,476,22,231,1.5,154.0,68.5
22.0,0,1.0,67,6,2,106,459,21,234,1.5,156.0,67.4
22.0,0,1.0,66,6,2,102,442,20,237,1.5,158.0,66.3
22.0,0,1.0,65,6,2,98,424,20,240,1.5,160.0,65.2
23.0,0,1.0,64,6,2,95,411,19,243,1.5,162.0,64.2
23.0,0,1.0,63,6,2,92,398,18,246,1.5,164.0,63.2
23.0,0,1.0,62,5,2,89,385,18,249,1.5,166.0,62.2
24.0,0,1.0,61,5,2,86,372,17,252,1.5,168.0,61.2
24.0,0,1.0,60,5,2,83,359,17,255,1.5,170.0,60.3
25.0,0,1.0,59,5,2,80,347,16,258,1.5,172.0,59.4
25.0,0,1.0,59,5,2,77,333,15,261,1.5,174.0,58.5
26.0,0,1.0,58,5,2,74,320,15,264,1.5,176.0,57.6
26.0,0,1.0,57,5,1,72,312,14,267,1.5,178.0,56.8
27.0,0,1.0,56,5,1,70,303,14,270,1.5,180.0,55.9
28.0,0,1.0,55,5,1,68,294,14,273,1.5,182.0,55.1
29.0,0,1.0,54,4,1,66,286,13,276,1.5,184.0,54.3
30.0,0,1.0,54,4,1,64,277,13,279,1.5,186.0,53.5
31.0,0,1.0,53,4,1,62,268,12,282,1.5,188.0,52.8
32.0,0,1.0,52,4,1,60,260,12,285,1.5,190.0,52.0
33.0,0,1.0,51,4,1,58,251,12,288,1.5,192.0,51.3
34.0,0,1.0,51,4,1,56,242,11,291,1.5,194.0,50.6
35.0,0,1.0,50,4,1,54,234,11,294,1.5,196.0,49.9
36.0,0,1.0,49,4,1,52,225,10,297,1.5,198.0,49.2
37.0,0,1.0,49,4,1,50,217,10,300,1.5,200.0,48.5
38.0,0,1.0,48,4,1,49,212,10,303,1.5,202.0,47.9
39.0,0,1.0,47,4,1,48,208,10,306,1.5,204.0,47.2
40.0,0,1.0,47,4,1,47,203,9,309,1.5,206.0,46.6
41.0,0,1.0,46,4,1,46,199,9,312,1.5,208.0,46.0
42.0,0,1.0,45,4,1,45,195,9,315,1.5,210.0,45.4
43.0,0,1.0,45,4,1,44,190,9,318,1.5,212.0,44.8
44.0,0,1.0,44,4,1,43,186,9,321,1.5,214.0,44.2
45.0,0,1.0,44,3,1,42,182,8,324,1.5,216.0,43.6
46.0,0,1.0,43,3,1,41,178,8,327,1.5,218.0,43.1
47.0,0,1.0,43,3,1,40,173,8,330,1.5,220.0,42.5
48.0,0,1.0,42,3,1,39,169,8,333,1.5,222.0,42.0
49.0,0,1.0,41,3,1,38,165,8,336,1.5,224.0,41.4
50.0,0,1.0,41,3,1,37,160,7,339,1.5,226.0,40.9
51.0,0,1.0,40,3,1,36,156,7,342,1.5,228.0,40.4
52.0,0,1.0,40,3,1,35,152,7,345,1.5,230.0,39.9
25.0,0,1.0,39,3,0,34,147,7,348,1.5,232.0,39.4
26.0,0,1.0,39,3,0,33,143,7,351,1.5,234.0,38.9
27.0,0,1.0,38,3,0,32,139,6,354,1.5,236.0,38.4
28.0,0,1.0,38,3,0,31,134,6,357,1.5,238.0,38.0
29.0,0,1.0,38,3,0,30,130,6,360,1.5,240.0,37.5
30.0,0,1.0,37,3,0,29,126,6,363,1.5,242.0,37.0
31.0,0,1.0,37,3,0,28,121,6,366,1.5,244.0,36.6
32.0,0,1.0,36,3,0,27,117,5,369,1.5,246.0,36.1
33.0,0,1.0,36,3,0,26,113,5,372,1.5,248.0,35.7
34.0,0,1.0,35,3,0,25,108,5,375,1.5,250.0,35.3
35.0,0,1.0,35,3,0,24,104,5,378,1.5,252.0,34.8
36.0,0,1.0,34,3,0,23,100,5,381,1.5,254.0,34.4
37.0,0,1.0,34,3,0,22,95,4,384,1.5,256.0,34.0
38.0,0,1.0,34,3,0,21,91,4,387,1.5,258.0,33.6
39.0,0,1.0,33,3,0,20,87,4,390,1.5,260.0,33.2
