age,gender,competition_level,vo2max,training_frequency,running_history,strength_frequency,resting_hr,weekly_distance,monthly_distance,tempo_pace,long_run_distance,long_run_pace,target_time_seconds,distance_km,target_pace,vdot
24.5,1,1.0,85.0,4,10,2,36,180,779.4,171,30,211,780,5.0,156.0,85.0
24.5,1,1.0,83.9,4,10,2,36,176,762.1,173,30,214,788,5.0,157.6,83.9
24.5,1,1.0,82.8,4,10,2,37,172,744.8,175,29,217,796,5.0,159.2,82.8
24.5,1,1.0,81.7,10,10,2,37,168,727.4,177,28,220,804,5.0,160.8,81.7
24.5,1,1.0,80.7,10,10,2,38,164,710.1,179,28,223,812,5.0,162.4,80.7
24.5,1,1.0,79.6,10,10,2,38,160,692.8,181,27,226,820,5.0,164.0,79.6
24.5,1,1.0,78.6,10,9,2,39,156,675.5,183,26,229,828,5.0,165.6,78.6
24.5,1,1.0,77.6,9,9,2,39,152,658.2,185,26,232,836,5.0,167.2,77.6
24.5,1,1.0,76.6,9,9,2,40,149,645.2,187,25,235,844,5.0,168.8,76.6
24.5,1,1.0,75.6,9,9,2,40,146,632.2,189,25,238,852,5.0,170.4,75.6
24.5,1,1.0,74.6,9,8,2,41,143,619.2,191,24,241,860,5.0,172.0,74.6
24.5,1,1.0,73.7,8,8,2,41,140,606.2,193,23,244,868,5.0,173.6,73.7
24.5,1,1.0,72.7,8,8,2,42,137,593.2,195,23,247,876,5.0,175.2,72.7
24.5,1,1.0,71.8,8,8,2,42,134,580.2,197,22,250,884,5.0,176.8,71.8
24.5,1,1.0,70.9,8,7,2,43,131,567.2,199,22,253,892,5.0,178.4,70.9
24.5,1,1.0,70.0,7,7,2,43,128,554.2,201,21,256,900,5.0,180.0,70.0
24.5,1,1.0,69.1,7,7,2,44,125,541.3,203,21,259,908,5.0,181.6,69.1
24.5,1,1.0,68.3,7,7,2,44,122,528.3,205,20,262,916,5.0,183.2,68.3
24.5,1,1.0,67.4,7,6,2,45,119,515.3,207,20,265,924,5.0,184.8,67.4
24.5,1,1.0,66.6,7,6,2,45,116,502.3,209,19,268,932,5.0,186.4,66.6
24.5,1,1.0,65.8,7,6,2,46,112,485.0,211,19,271,940,5.0,188.0,65.8
24.5,1,1.0,64.9,7,6,2,46,108,467.6,213,18,274,948,5.0,189.6,64.9
24.5,1,1.0,64.1,6,5,2,47,104,450.3,215,18,278,956,5.0,191.2,64.1
24.5,1,1.0,63.3,6,5,2,47,100,433.0,218,17,281,964,5.0,192.8,63.3
24.5,1,1.0,62.5,6,5,2,48,97,420.0,220,16,284,972,5.0,194.4,62.5
24.5,1,1.0,61.7,6,5,2,48,94,407.0,222,16,287,980,5.0,196.0,61.7
