gender,competition_level,vo2max,running_history,resting_hr,weekly_distance,monthly_distance,target_time_seconds,distance_km,target_pace,vdot
0,1.0,34,0.5,68,20,84,0.0,0.0,0.0,0.0
0,1.0,34,0.5,68,20,85,0.0,0.0,0.0,0.0
0,1.0,34,0.5,68,21,87,0.0,0.0,0.0,0.0
0,1.0,35,0.6,67,21,89,0.0,0.0,0.0,0.0
0,1.0,35,0.6,67,22,91,0.0,0.0,0.0,0.0
0,1.0,35,0.6,67,22,93,0.0,0.0,0.0,0.0
0,1.0,35,0.7,67,23,95,0.0,0.0,0.0,0.0
0,1.0,36,0.7,66,23,97,0.0,0.0,0.0,0.0
0,1.0,36,0.7,66,24,99,0.0,0.0,0.0,0.0
0,1.0,36,0.8,66,24,101,0.0,0.0,0.0,0.0
0,1.0,36,0.8,66,25,103,0.0,0.0,0.0,0.0
0,1.0,37,0.8,65,25,105,0.0,0.0,0.0,0.0
0,1.0,37,0.9,65,25,107,0.0,0.0,0.0,0.0
0,1.0,37,0.9,65,26,109,0.0,0.0,0.0,0.0
0,1.0,37,0.9,65,26,111,0.0,0.0,0.0,0.0
0,1.0,38,1.0,64,27,113,0.0,0.0,0.0,0.0
0,1.0,38,1.0,64,27,115,0.0,0.0,0.0,0.0
0,1.0,38,1.0,64,28,117,0.0,0.0,0.0,0.0
0,1.0,38,1.1,64,28,119,0.0,0.0,0.0,0.0
0,1.0,39,1.1,63,28,121,0.0,0.0,0.0,0.0
0,1.0,39,1.1,63,29,123,0.0,0.0,0.0,0.0
0,1.0,39,1.2,63,29,125,0.0,0.0,0.0,0.0
0,1.0,39,1.2,63,30,127,0.0,0.0,0.0,0.0
0,1.0,40,1.2,62,30,129,0.0,0.0,0.0,0.0
0,1.0,40,1.3,62,31,131,0.0,0.0,0.0,0.0
0,1.0,40,1.3,62,31,133,0.0,0.0,0.0,0.0
0,1.0,40,1.3,62,32,135,0.0,0.0,0.0,0.0
0,1.0,41,1.4,61,32,137,0.0,0.0,0.0,0.0
0,1.0,41,1.4,61,33,139,0.0,0.0,0.0,0.0
0,1.0,41,1.4,61,33,141,0.0,0.0,0.0,0.0
0,1.0,41,1.5,61,33,142,0.0,0.0,0.0,0.0
0,1.0,42,1.5,60,34,144,0.0,0.0,0.0,0.0
0,1.0,42,1.5,60,34,146,0.0,0.0,0.0,0.0
0,1.0,42,1.6,60,35,148,0.0,0.0,0.0,0.0
0,1.0,42,1.6,60,35,150,0.0,0.0,0.0,0.0
0,1.0,43,1.6,59,36,152,0.0,0.0,0.0,0.0
0,1.0,43,1.7,59,36,154,0.0,0.0,0.0,0.0
0,1.0,43,1.7,59,37,156,0.0,0.0,0.0,0.0
0,1.0,43,1.7,59,37,157,0.0,0.0,0.0,0.0
0,1.0,44,1.8,58,38,159,0.0,0.0,0.0,0.0
0,1.0,44,1.8,58,38,161,0.0,0.0,0.0,0.0
0,1.0,44,1.9,58,39,163,0.0,0.0,0.0,0.0
0,1.0,44,1.9,58,39,165,0.0,0.0,0.0,0.0
0,1.0,45,2.0,57,40,167,0.0,0.0,0.0,0.0
0,1.0,45,2.0,57,40,169,0.0,0.0,0.0,0.0
0,1.0,45,2.1,57,41,171,0.0,0.0,0.0,0.0
0,1.0,45,2.1,57,41,173,0.0,0.0,0.0,0.0
0,1.0,46,2.2,56,42,175,0.0,0.0,0.0,0.0
0,1.0,46,2.2,56,42,177,0.0,0.0,0.0,0.0
0,1.0,46,2.3,56,43,179,0.0,0.0,0.0,0.0
0,1.0,46,2.3,56,43,181,0.0,0.0,0.0,0.0
0,1.0,47,2.4,55,44,183,0.0,0.0,0.0,0.0
0,1.0,47,2.4,55,44,185,0.0,0.0,0.0,0.0
0,1.0,47,2.5,55,45,187,0.0,0.0,0.0,0.0
0,1.0,47,2.5,55,45,189,0.0,0.0,0.0,0.0
0,1.0,48,2.6,54,45,191,0.0,0.0,0.0,0.0
0,1.0,48,2.6,54,46,193,0.0,0.0,0.0,0.0
0,1.0,48,2.7,54,46,195,0.0,0.0,0.0,0.0
0,1.0,48,2.7,54,47,197,0.0,0.0,0.0,0.0
0,1.0,49,2.8,53,47,200,0.0,0.0,0.0,0.0
0,1.0,49,2.8,53,48,202,0.0,0.0,0.0,0.0
0,1.0,49,2.9,53,48,204,0.0,0.0,0.0,0.0
0,1.0,49,2.9,53,49,206,0.0,0.0,0.0,0.0
0,1.0,50,3.0,52,49,208,0.0,0.0,0.0,0.0
0,1.0,50,3.0,52,50,210,0.0,0.0,0.0,0.0
0,1.0,50,3.1,52,50,212,0.0,0.0,0.0,0.0
0,1.0,50,3.1,52,51,214,0.0,0.0,0.0,0.0
0,1.0,51,3.2,51,51,216,0.0,0.0,0.0,0.0
0,1.0,51,3.2,51,52,218,0.0,0.0,0.0,0.0
0,1.0,51,3.3,51,52,220,0.0,0.0,0.0,0.0
0,1.0,51,3.3,51,53,222,0.0,0.0,0.0,0.0
0,1.0,52,3.4,50,53,224,0.0,0.0,0.0,0.0
0,1.0,52,3.4,50,54,226,0.0,0.0,0.0,0.0
0,1.0,52,3.5,50,54,228,0.0,0.0,0.0,0.0
0,1.0,52,3.5,50,55,230,0.0,0.0,0.0,0.0
0,1.0,53,3.6,49,55,232,0.0,0.0,0.0,0.0
0,1.0,53,3.6,49,55,233,0.0,0.0,0.0,0.0
0,1.0,53,3.7,49,56,236,0.0,0.0,0.0,0.0
0,1.0,53,3.7,49,56,238,0.0,0.0,0.0,0.0
0,1.0,54,3.8,48,57,240,0.0,0.0,0.0,0.0
0,1.0,54,3.8,48,57,242,0.0,0.0,0.0,0.0
0,1.0,54,3.9,48,58,244,0.0,0.0,0.0,0.0
0,1.0,54,3.9,48,58,246,0.0,0.0,0.0,0.0
0,1.0,55,4.0,47,59,248,0.0,0.0,0.0,0.0
0,1.0,55,4.0,47,59,250,0.0,0.0,0.0,0.0
0,1.0,55,4.1,47,60,252,0.0,0.0,0.0,0.0
0,1.0,55,4.1,47,60,254,0.0,0.0,0.0,0.0
0,1.0,56,4.2,46,61,257,0.0,0.0,0.0,0.0
0,1.0,56,4.2,46,61,259,0.0,0.0,0.0,0.0
0,1.0,56,4.3,46,62,261,0.0,0.0,0.0,0.0
0,1.0,56,4.3,46,62,263,0.0,0.0,0.0,0.0
0,1.0,57,4.4,45,63,265,0.0,0.0,0.0,0.0
0,1.0,57,4.4,45,63,267,0.0,0.0,0.0,0.0
0,1.0,57,4.5,45,64,269,0.0,0.0,0.0,0.0
0,1.0,57,4.5,45,64,271,0.0,0.0,0.0,0.0
0,1.0,58,4.6,44,65,273,0.0,0.0,0.0,0.0
0,1.0,58,4.6,44,65,275,0.0,0.0,0.0,0.0
0,1.0,58,4.7,44,66,277,0.0,0.0,0.0,0.0
0,1.0,58,4.7,44,66,279,0.0,0.0,0.0,0.0
0,1.0,59,4.8,43,67,282,0.0,0.0,0.0,0.0
0,1.0,59,4.8,43,67,284,0.0,0.0,0.0,0.0
0,1.0,59,4.9,43,68,286,0.0,0.0,0.0,0.0
0,1.0,59,4.9,43,68,288,0.0,0.0,0.0,0.0
0,1.0,60,5.0,42,69,290,0.0,0.0,0.0,0.0
0,1.0,60,5.0,42,69,292,0.0,0.0,0.0,0.0
0,1.0,60,5.0,42,70,294,0.0,0.0,0.0,0.0
0,1.0,60,5.0,42,70,296,0.0,0.0,0.0,0.0
0,1.0,61,5.0,41,71,298,0.0,0.0,0.0,0.0
0,1.0,61,5.0,41,71,300,0.0,0.0,0.0,0.0
0,1.0,61,5.0,41,72,302,0.0,0.0,0.0,0.0
0,1.0,61,5.0,41,72,305,0.0,0.0,0.0,0.0
0,1.0,62,5.0,40,73,307,0.0,0.0,0.0,0.0
0,1.0,62,5.0,40,73,309,0.0,0.0,0.0,0.0
0,1.0,62,5.0,40,74,311,0.0,0.0,0.0,0.0
0,1.0,62,5.0,40,74,312,0.0,0.0,0.0,0.0
0,1.0,63,6.0,40,75,315,0.0,0.0,0.0,0.0
0,1.0,63,6.0,40,76,318,0.0,0.0,0.0,0.0
0,1.0,63,6.0,39,77,321,0.0,0.0,0.0,0.0
0,1.0,64,6.0,39,78,324,0.0,0.0,0.0,0.0
0,1.0,64,6.0,39,79,327,0.0,0.0,0.0,0.0
0,1.0,64,6.0,39,80,330,0.0,0.0,0.0,0.0
0,1.0,65,6.0,38,81,333,0.0,0.0,0.0,0.0
0,1.0,65,7.0,38,82,336,0.0,0.0,0.0,0.0
0,1.0,65,7.0,38,83,339,0.0,0.0,0.0,0.0
0,1.0,66,7.0,38,84,342,0.0,0.0,0.0,0.0
0,1.0,66,7.0,37,85,345,0.0,0.0,0.0,0.0
0,1.0,66,7.0,37,86,348,0.0,0.0,0.0,0.0
0,1.0,67,7.0,37,87,351,0.0,0.0,0.0,0.0
0,1.0,67,8.0,37,88,354,0.0,0.0,0.0,0.0
0,1.0,67,8.0,36,89,357,0.0,0.0,0.0,0.0
0,1.0,68,8.0,36,90,360,0.0,0.0,0.0,0.0
0,1.0,68,8.0,36,91,363,0.0,0.0,0.0,0.0
0,1.0,68,8.0,36,92,366,0.0,0.0,0.0,0.0
0,1.0,69,8.0,35,93,369,0.0,0.0,0.0,0.0
0,1.0,69,8.0,35,94,372,0.0,0.0,0.0,0.0
0,1.0,69,9.0,35,95,375,0.0,0.0,0.0,0.0
0,1.0,70,9.0,35,96,378,0.0,0.0,0.0,0.0
0,1.0,70,9.0,34,97,381,0.0,0.0,0.0,0.0
0,1.0,70,9.0,34,98,384,0.0,0.0,0.0,0.0
0,1.0,71,9.0,34,99,387,0.0,0.0,0.0,0.0
0,1.0,71,10.0,34,100,390,0.0,0.0,0.0,0.0
0,1.0,71,10.0,33,101,393,0.0,0.0,0.0,0.0
0,1.0,72,10.0,33,102,396,0.0,0.0,0.0,0.0
0,1.0,72,10.0,33,103,399,0.0,0.0,0.0,0.0
0,1.0,72,10.0,33,104,402,0.0,0.0,0.0,0.0
0,1.0,73,10.0,32,105,405,0.0,0.0,0.0,0.0
0,1.0,73,10.0,32,106,408,0.0,0.0,0.0,0.0
0,1.0,73,11.0,32,107,411,0.0,0.0,0.0,0.0
0,1.0,74,11.0,32,108,414,0.0,0.0,0.0,0.0
0,1.0,74,11.0,31,109,417,0.0,0.0,0.0,0.0
0,1.0,74,11.0,31,110,420,0.0,0.0,0.0,0.0
0,1.0,75,11.0,31,111,423,0.0,0.0,0.0,0.0
0,1.0,75,12.0,31,112,426,0.0,0.0,0.0,0.0
0,1.0,76,12.0,30,114,432,0.0,0.0,0.0,0.0
0,1.0,76,12.0,30,116,438,0.0,0.0,0.0,0.0
0,1.0,77,12.0,30,118,444,0.0,0.0,0.0,0.0
0,1.0,77,12.0,29,120,450,0.0,0.0,0.0,0.0
0,1.0,78,12.0,29,122,456,0.0,0.0,0.0,0.0
0,1.0,78,12.0,29,124,462,0.0,0.0,0.0,0.0
0,1.0,79,12.0,29,126,468,0.0,0.0,0.0,0.0
0,1.0,79,12.0,28,128,474,0.0,0.0,0.0,0.0
0,1.0,80,12.0,28,130,480,0.0,0.0,0.0,0.0
0,1.0,80,12.0,28,132,486,0.0,0.0,0.0,0.0
0,1.0,81,12.0,28,134,492,0.0,0.0,0.0,0.0
0,1.0,81,12.0,27,136,498,0.0,0.0,0.0,0.0
0,1.0,82,12.0,27,138,504,0.0,0.0,0.0,0.0
0,1.0,82,12.0,27,140,510,0.0,0.0,0.0,0.0
0,1.0,83,12.0,27,142,516,0.0,0.0,0.0,0.0
0,1.0,83,12.0,26,144,522,0.0,0.0,0.0,0.0
0,1.0,84,12.0,26,146,528,0.0,0.0,0.0,0.0
0,1.0,84,12.0,26,148,534,0.0,0.0,0.0,0.0
0,1.0,85,12.0,26,150,540,0.0,0.0,0.0,0.0
