age,gender,competition_level,vo2max,training_frequency,running_history,strength_frequency,resting_hr,weekly_distance,monthly_distance,tempo_pace,tempo_distance,long_run_distance,long_run_pace,interval_200m_time,interval_200m_rest,interval_400m_time,interval_400m_rest,interval_800m_time,interval_800m_rest,target_time_seconds,distance_km,target_pace,vdot
24.0,1,1,81.2,3,1,2,38,105,420,185,5,20,245,23.8,120,51.0,90,108.0,110,100,0.8,125.0,85.5
24.0,1,1,79.0,3,1,2,39,102,408,188,5,20,248,24.2,120,52.0,90,110.2,110,102,0.8,127.5,83.1
25.0,1,1,76.8,3,1,2,40,99,396,192,5,19,252,24.7,120,53.0,90,112.3,115,104,0.8,130.0,80.8
25.0,1,1,74.7,9,1,2,41,96,384,196,5,19,256,25.2,120,54.1,90,114.5,115,106,0.8,132.5,78.6
26.0,1,1,72.7,9,1,2,42,93,372,200,5,18,260,25.7,120,55.1,90,116.6,120,108,0.8,135.0,76.5
26.0,1,1,70.8,9,1,2,43,90,360,204,5,18,264,26.1,120,56.1,90,118.8,120,110,0.8,137.5,74.5
23.0,1,3,69.0,8,1,2,44,87,348,208,5,17,269,26.6,240,57.1,90,121.0,120,112,0.8,140.0,72.6
23.0,1,3,67.3,8,1,2,45,84,336,212,5,17,273,27.1,240,58.1,90,123.1,125,114,0.8,142.5,70.8
22.0,1,3,65.6,8,8,2,46,81,324,216,5,16,278,27.6,240,59.2,90,125.3,125,116,0.8,145.0,69.1
22.0,1,3,64.0,7,8,2,47,78,312,221,5,16,283,28.1,240,60.2,90,127.4,130,118,0.8,147.5,67.4
21.0,1,3,62.5,7,7,2,48,75,300,225,5,15,288,28.5,240,61.2,90,129.6,130,120,0.8,150.0,65.8
21.0,1,2,61.1,7,7,2,49,72,288,230,4,15,293,29.0,180,62.2,90,131.8,130,122,0.8,152.5,64.3
24.0,0,1,59.7,6,6,2,50,69,276,234,4,14,298,29.5,180,63.2,90,133.9,135,124,0.8,155.0,62.8
25.0,0,1,58.3,6,6,2,51,66,264,239,4,14,303,30.0,180,64.3,90,136.1,135,126,0.8,157.5,61.4
26.0,0,3,57.1,6,5,2,52,63,252,244,4,13,309,30.5,180,65.3,90,138.2,140,128,0.8,160.0,60.1
27.0,0,3,55.9,6,5,2,53,60,240,248,4,13,314,31.0,180,66.3,90,140.4,140,130,0.8,162.5,58.8
28.0,0,3,54.7,5,5,1,54,58,232,253,4,12,320,31.4,180,67.3,90,142.6,145,132,0.8,165.0,57.6
29.0,0,3,53.6,5,4,1,54,56,224,258,4,12,325,31.9,180,68.3,90,144.7,145,134,0.8,167.5,56.4
