10000m_Time,VDOT,Weekly_Mileage_km,Monthly_Mileage_km,Tempo_Run_Pace_per_km_sec,Long_Run_Max_Dist_km,Long_Run_Pace_per_km_sec,Age_Range,Gender,Competition_Level,VO2max_Est,Training_Freq_per_Week,Running_History_Years,Strength_Training_Freq_per_Week,Resting_Heart_Rate,Interval_400m_Time_sec,Interval_400m_Rest_sec,Interval_800m_Time_sec,Interval_800m_Rest_sec,Interval_1000m_Time_sec,Interval_1000m_Rest_sec,Interval_1200m_Time_sec,Interval_1200m_Rest_sec,Interval_2000m_Time_sec,Interval_2000m_Rest_sec,Interval_3000m_Time_sec,Interval_3000m_Rest_sec,Interval_4000m_Time_sec,Interval_4000m_Rest_sec
27:00,85.0,170-210,737-909,163.2,38-43,200-222,22-32,Male,World Class,80-85,12-14,12-20,2-3,30-38,60.8,120,121.6,120,152.0,150,182.4,180,326.4,150,489.6,180,652.8,210
27:12,84.2,170-210,737-909,164.7,38-43,202-224,22-32,Male,World Class,79-84,12-14,12-20,2-3,30-38,61.5,120,123.0,120,153.8,150,184.5,180,329.4,150,494.1,180,658.8,210
27:24,83.4,165-205,715-888,166.3,38-43,204-226,22-32,Male,World Class,78-83,12-14,12-20,2-3,30-38,62.2,120,124.4,120,155.5,150,186.6,180,332.6,150,498.9,180,665.2,210
27:36,82.6,165-205,715-888,167.9,38-43,206-229,22-32,Male,World Class,78-83,12-14,12-20,2-3,30-38,62.9,120,125.8,120,157.3,150,188.7,180,335.8,150,503.7,180,671.6,210
27:48,81.8,160-200,693-866,169.5,35-42,208-231,22-32,Male,World Class,77-82,11-14,11-18,2-3,32-40,63.6,120,127.2,120,159.0,150,190.8,180,339.0,150,508.5,180,678.0,210
28:00,81.0,160-200,693-866,171.1,35-42,210-233,22-32,Male,World Class,76-81,11-14,11-18,2-3,32-40,64.3,120,128.6,120,160.8,150,192.9,180,342.2,150,513.3,180,684.4,210
28:12,80.2,155-195,671-845,172.8,35-42,212-236,22-32,Male,National Class,75-80,11-13,10-17,2-3,32-40,65.1,120,130.2,130,162.8,160,195.3,180,345.6,150,518.4,180,691.2,210
28:24,79.4,155-195,671-845,174.5,35-42,215-238,22-32,Male,National Class,75-80,11-13,10-17,2-3,32-40,65.8,120,131.6,130,164.5,160,197.4,180,349.0,150,523.5,180,698.0,210
28:36,78.7,150-190,650-823,176.1,35-42,217-241,22-32,Male,National Class,74-79,10-13,10-16,2-3,33-41,66.5,120,133.0,130,166.3,160,199.5,180,352.2,150,528.3,180,704.4,210
28:48,77.9,150-190,650-823,177.8,35-42,219-243,22-32,Male,National Class,73-78,10-13,10-16,2-3,33-41,67.2,120,134.4,130,168.0,160,201.6,180,355.6,150,533.4,180,711.2,210
29:00,77.2,145-185,628-801,179.4,32-40,221-246,21-33,Male,National Class,72-77,10-12,9-15,2-3,34-42,68.0,120,136.0,130,170.0,160,204.0,180,358.8,150,538.2,180,717.6,210
29:12,76.5,145-185,628-801,181.1,32-40,223-248,21-33,Male,National Class,72-77,10-12,9-15,2-3,34-42,68.7,120,137.4,130,171.8,160,206.1,180,362.2,150,543.3,180,724.4,210
29:24,75.8,140-180,606-780,182.8,32-40,226-251,21-33,Male,National Class,71-76,9-12,9-14,2-3,35-43,69.4,120,138.8,130,173.5,160,208.2,180,365.6,150,548.4,180,731.2,210
29:36,75.1,140-180,606-780,184.5,32-40,228-253,21-33,Male,National Class,70-75,9-12,9-14,2-3,35-43,70.2,120,140.4,140,175.5,170,210.6,180,369.0,150,553.5,180,738.0,210
29:48,74.4,135-175,585-758,186.2,32-40,230-256,21-33,Male,National Class,70-75,9-12,8-13,2-3,35-43,70.9,120,141.8,140,177.3,170,212.7,180,372.4,150,558.6,180,744.8,210
30:00,73.7,135-175,585-758,187.9,32-40,232-258,20-34,Male,National Class,69-74,9-11,8-13,2-3,36-44,71.7,120,143.4,140,179.3,170,215.1,180,375.8,150,563.7,180,751.6,210
30:12,73.0,130-170,563-736,189.7,30-38,235-261,20-34,Male,National Class,68-73,8-11,8-12,2-3,36-44,72.4,120,144.8,140,181.0,170,217.2,180,379.4,150,569.1,180,758.8,210
30:24,72.4,130-170,563-736,191.4,30-38,237-263,20-34,Male,National Class,68-73,8-11,8-12,2-3,36-44,73.1,120,146.2,140,182.8,170,219.3,180,382.8,150,574.2,180,765.6,210
30:36,71.7,125-165,541-715,193.1,30-38,239-265,20-34,Male,National Class,67-72,8-11,7-12,2-3,37-45,73.9,120,147.8,140,184.8,170,221.7,180,386.2,150,579.3,180,772.4,210
30:48,71.1,125-165,541-715,194.8,30-38,241-268,20-34,Male,National Class,67-72,8-10,7-11,2-3,37-45,74.6,120,149.2,140,186.5,170,223.8,180,389.6,150,584.4,180,779.2,210
31:00,70.5,120-160,520-693,196.5,30-38,243-270,20-35,Male,National Class,66-71,8-10,7-11,2,38-46,75.4,120,150.8,150,188.5,180,226.2,180,393.0,150,589.5,180,786.0,210
