Target_Time_sec,Target_Time_str,VDOT,Weekly_Mileage_km,Monthly_Mileage_km,Tempo_Run_Desc,Tempo_Pace_per_km,Long_Run_km,Long_Run_Pace_per_km,Rep_200m_x10_time_sec,Rep_200m_rest_sec,Rep_300m_x8_time_sec,Rep_300m_rest_sec,Int_400m_x8_time_sec,Int_400m_rest_sec,Int_600m_x5_time_sec,Int_600m_rest_sec,Int_800m_x5_time_sec,Int_800m_rest_sec,Int_1000m_x4_time_sec,Int_1000m_rest_sec,Age,Sex,Competition_Level,VO2max_est,Training_Freq_per_week,Running_History_yrs,Strength_Freq_per_week,RHR_bpm
195,00:03:15,84.8,160,693,8km total volume @ T-Pace (e.g. 8x1000m w/60s rest),00:03:02,32,00:03:45,30.6,92,45.9,138,66.0,66,99.0,99,132.0,132,165.0,165,22,Male,International,85,9,10,3,36
198,00:03:18,83.2,155,671,8km total volume @ T-Pace (e.g. 8x1000m w/60s rest),00:03:05,31,00:03:48,31.2,94,46.8,140,67.2,67,100.8,101,134.4,134,168.0,168,22,Male,International,83,9,10,3,37
201,00:03:21,81.7,150,650,8km total volume @ T-Pace (e.g. 8x1000m w/60s rest),00:03:08,30,00:03:52,31.8,95,47.7,143,68.4,68,102.6,103,136.8,137,171.0,171,23,Male,International,82,9,9,3,37
204,00:03:24,80.2,146,632,8km total volume @ T-Pace (e.g. 7x1200m w/75s rest),00:03:11,29,00:03:55,32.4,97,48.6,146,69.6,70,104.4,104,139.2,139,174.0,174,23,Male,National,80,8,9,3,38
207,00:03:27,78.8,142,615,8km total volume @ T-Pace (e.g. 7x1200m w/75s rest),00:03:13,28,00:03:58,33.0,99,49.5,149,70.8,71,106.2,106,141.6,142,177.0,177,23,Male,National,79,8,9,3,38
210,00:03:30,77.4,138,598,7km total volume @ T-Pace (e.g. 7x1000m w/60s rest),00:03:16,28,00:04:01,33.6,101,50.4,151,72.4,72,108.6,109,144.8,145,181.0,181,24,Male,National,77,8,8,3,39
213,00:03:33,76.0,134,580,7km total volume @ T-Pace (e.g. 7x1000m w/60s rest),00:03:19,27,00:04:04,34.2,103,51.3,154,73.6,74,110.4,110,147.2,147,184.0,184,24,Male,National,76,8,8,3,39
216,00:03:36,74.7,130,563,7km total volume @ T-Pace (e.g. 7x1000m w/60s rest),00:03:21,26,00:04:07,34.8,104,52.2,157,75.2,75,112.8,113,150.4,150,188.0,188,24,Male,National,75,7,8,2,40
219,00:03:39,73.4,126,546,7km total volume @ T-Pace (e.g. 6x1200m w/75s rest),00:03:24,25,00:04:10,35.4,106,53.1,159,76.4,76,114.6,115,152.8,153,191.0,191,25,Male,National,73,7,7,2,40
222,00:03:42,72.1,122,528,6km total volume @ T-Pace (e.g. 6x1000m w/60s rest),00:03:27,24,00:04:13,36.0,108,54.0,162,77.6,78,116.4,116,155.2,155,194.0,194,25,Male,National,72,7,7,2,41
