TargetTime_s,VDOT,Weekly_Mileage_km,Monthly_Mileage_km,Tempo_Run_10k_pace_s_per_km,Long_Run_km,Long_Run_pace_s_per_km,Interval_200m_avg_s,Interval_200m_rest_s,Interval_400m_avg_s,Interval_400m_rest_s,Interval_800m_avg_s,Interval_800m_rest_s,Interval_1000m_avg_s,Interval_1000m_rest_s,Interval_1200m_avg_s,Interval_1200m_rest_s,Interval_1600m_avg_s,Interval_1600m_rest_s,Interval_2000m_avg_s,Interval_2000m_rest_s,Age_years,Gender,Competition_Level,VO2max_ml_kg_min,Training_Frequency_days_per_week,Running_History_years,Strength_Training_freq_per_week,RestingHeartRate_bpm
780,85.0,180,779.4,171,30,211,31.0,77.5,64.4,161.0,133.2,133.2,163.0,163.0,198.6,198.6,269.6,269.6,339.0,339.0,20-29,Male,Elite,85.0,11,10,2,36
788,83.9,176,762.1,173,30,214,31.4,78.5,65.4,163.5,135.2,135.2,165.4,165.4,201.4,201.4,273.8,273.8,344.2,344.2,20-29,Male,Elite,83.9,11,10,2,36
796,82.8,172,744.8,175,29,217,31.8,79.5,66.2,165.5,137.0,137.0,167.8,167.8,204.4,204.4,278.0,278.0,349.4,349.4,20-29,Male,Elite,82.8,11,10,2,37
804,81.7,168,727.4,177,28,220,32.2,80.5,67.2,168.0,138.8,138.8,170.2,170.2,207.2,207.2,282.2,282.2,354.6,354.6,20-29,Male,Elite,81.7,10,10,2,37
812,80.7,164,710.1,179,28,223,32.6,81.5,68.0,170.0,140.6,140.6,172.6,172.6,210.2,210.2,286.4,286.4,359.8,359.8,20-29,Male,Elite,80.7,10,10,2,38
820,79.6,160,692.8,181,27,226,33.0,82.5,69.0,172.5,142.4,142.4,175.0,175.0,213.0,213.0,290.6,290.6,365.0,365.0,20-29,Male,Elite,79.6,10,10,2,38
828,78.6,156,675.5,183,26,229,33.4,83.5,69.8,174.5,144.4,144.4,177.4,177.4,216.0,216.0,294.8,294.8,370.2,370.2,20-29,Male,Elite,78.6,10,9,2,39
836,77.6,152,658.2,185,26,232,33.8,84.5,70.6,176.5,146.2,146.2,179.8,179.8,218.8,218.8,299.0,299.0,375.4,375.4,20-29,Male,Elite,77.6,9,9,2,39
844,76.6,149,645.2,187,25,235,34.2,85.5,71.6,179.0,148.0,148.0,182.2,182.2,221.8,221.8,303.2,303.2,380.6,380.6,20-29,Male,Elite,76.6,9,9,2,40
852,75.6,146,632.2,189,25,238,34.6,86.5,72.4,181.0,149.8,149.8,184.6,184.6,224.6,224.6,307.4,307.4,385.8,385.8,20-29,Male,Elite,75.6,9,9,2,40
860,74.6,143,619.2,191,24,241,35.0,87.5,73.4,183.5,151.6,151.6,187.0,187.0,227.6,227.6,311.6,311.6,391.0,391.0,20-29,Male,Elite,74.6,9,8,2,41
868,73.7,140,606.2,193,23,244,35.4,88.5,74.2,185.5,153.4,153.4,189.4,189.4,230.4,230.4,315.8,315.8,396.2,396.2,20-29,Male,Elite,73.7,8,8,2,41
876,72.7,137,593.2,195,23,247,36.0,90.0,75.2,188.0,155.4,155.4,191.8,191.8,233.4,233.4,320.0,320.0,401.4,401.4,20-29,Male,Elite,72.7,8,8,2,42
884,71.8,134,580.2,197,22,250,36.4,91.0,76.0,190.0,157.2,157.2,194.2,194.2,236.2,236.2,324.2,324.2,406.6,406.6,20-29,Male,Elite,71.8,8,8,2,42
892,70.9,131,567.2,199,22,253,36.8,92.0,76.8,192.0,159.0,159.0,196.6,196.6,239.0,239.0,328.4,328.4,411.8,411.8,20-29,Male,Elite,70.9,8,7,2,43
900,70.0,128,554.2,201,21,256,37.2,93.0,77.8,194.5,160.8,160.8,199.0,199.0,242.0,242.0,332.6,332.6,417.0,417.0,20-29,Male,Sub-Elite,70.0,7,7,2,43
908,69.1,125,541.3,203,21,259,37.6,94.0,78.6,196.5,162.6,162.6,201.4,201.4,244.8,244.8,336.8,336.8,422.2,422.2,20-29,Male,Sub-Elite,69.1,7,7,2,44
916,68.3,122,528.3,205,20,262,38.0,95.0,79.6,199.0,164.6,164.6,203.8,203.8,247.8,247.8,341.0,341.0,427.4,427.4,20-29,Male,Sub-Elite,68.3,7,7,2,44
924,67.4,119,515.3,207,20,265,38.4,96.0,80.4,201.0,166.4,166.4,206.2,206.2,250.6,250.6,345.2,345.2,432.6,432.6,20-29,Male,Sub-Elite,67.4,7,6,2,45
932,66.6,116,502.3,209,19,268,38.8,97.0,81.4,203.5,168.2,168.2,208.6,208.6,253.6,253.6,349.4,349.4,437.8,437.8,20-29,Male,Sub-Elite,66.6,7,6,2,45
940,65.8,112,485.0,211,19,271,39.4,98.5,82.2,205.5,170.2,170.2,211.0,211.0,256.4,256.4,353.6,353.6,443.0,443.0,20-29,Male,Sub-Elite,65.8,7,6,2,46
948,64.9,108,467.6,213,18,274,39.8,99.5,83.2,208.0,172.0,172.0,213.4,213.4,259.4,259.4,357.8,357.8,448.2,448.2,20-29,Male,Sub-Elite,64.9,7,6,2,46
956,64.1,104,450.3,215,18,278,40.2,100.5,84.2,210.5,174.0,174.0,215.8,215.8,262.2,262.2,362.0,362.0,453.4,453.4,20-29,Male,Sub-Elite,64.1,6,5,2,47
964,63.3,100,433.0,218,17,281,40.6,101.5,85.0,212.5,175.8,175.8,218.2,218.2,265.2,265.2,366.2,366.2,458.6,458.6,20-29,Male,Sub-Elite,63.3,6,5,2,47
972,62.5,97,420.0,220,16,284,41.0,102.5,86.0,215.0,177.6,177.6,220.6,220.6,268.0,268.0,370.4,370.4,463.8,463.8,20-29,Male,Sub-Elite,62.5,6,5,2,48
980,61.7,94,407.0,222,16,287,41.6,104.0,86.8,217.0,179.6,179.6,223.0,223.0,271.0,271.0,374.6,374.6,469.0,469.0,20-29,Male,Sub-Elite,61.7,6,5,2,48
988,61.0,91,394.0,224,15,291,42.0,105.0,87.8,219.5,181.4,181.4,225.4,225.4,273.8,273.8,378.8,378.8,474.2,474.2,20-29,Male,Competitive Amateur,61.0,6,5,2,49
996,60.2,88,381.0,226,15,294,42.4,106.0,88.6,221.5,183.2,183.2,227.8,227.8,276.6,276.6,383.0,383.0,479.4,479.4,20-29,Male,Competitive Amateur,60.2,6,4,2,49
