Target_5km_Time_seconds,Target_5km_Pace_per_km_seconds,Weekly_Mileage_km,Monthly_Mileage_km,Tempo_Run_8-12km_Pace_per_km_seconds,Long_Run_Max_Distance_km,Long_Run_Pace_per_km_seconds,Age_Range_Min,Age_Range_Max,Gender,Competition_Level,VO2max_ml_kg_min,Training_Frequency_per_week,Running_History_years,Strength_Training_Frequency_per_week,Resting_Heart_Rate_bpm,Interval_400m_x10-12_Avg_Time_seconds,Interval_400m_x10-12_Rest_Time_seconds,Interval_800m_x6-8_Avg_Time_seconds,Interval_800m_x6-8_Rest_Time_seconds,Interval_1000m_x5-6_Avg_Time_seconds,Interval_1000m_x5-6_Rest_Time_seconds,Interval_1200m_x4-5_Avg_Time_seconds,Interval_1200m_x4-5_Rest_Time_seconds,Interval_1600m_x3-4_Avg_Time_seconds,Interval_1600m_x3-4_Rest_Time_seconds,Interval_2000m_x3_Avg_Time_seconds,Interval_2000m_x3_Rest_Time_seconds
2100,420,20,84,455,10,490,15,70,3,1,34,3,0.5,1,68,134,120,272,240,345,300,420,360,576,420,730,480
2092,418,20,85,453,10,488,15,70,3,1,34,3,0.5,1,68,133,120,270,240,343,300,417,360,572,420,726,480
2084,417,21,87,451,10,486,15,70,3,1,34,3,0.5,1,68,132,120,268,240,341,300,415,360,568,420,722,480
2076,415,21,89,449,10,484,15,70,3,1,35,3,0.6,1,67,131,120,266,240,339,300,412,360,564,420,718,480
2068,414,22,91,447,10,482,15,70,3,1,35,3,0.6,1,67,130,120,264,240,337,300,410,360,560,420,714,480
2060,412,22,93,445,10,480,15,70,3,1,35,3,0.6,1,67,129,120,262,240,334,300,407,360,556,420,710,480
2052,410,23,95,443,10,478,15,70,3,1,35,3,0.7,1,67,128,120,260,240,332,300,404,360,552,420,706,480
2044,409,23,97,441,10,476,15,70,3,1,36,3,0.7,1,66,127,120,258,240,330,300,401,360,548,420,702,480
2036,407,24,99,439,11,474,15,70,3,1,36,3,0.7,1,66,126,120,256,240,327,300,398,360,544,420,698,480
2028,406,24,101,437,11,472,15,70,3,1,36,3,0.8,1,66,125,120,254,240,325,300,395,360,540,420,694,480
2020,404,25,103,435,11,470,15,70,3,1,36,3,0.8,1,66,124,120,252,240,322,300,392,360,536,420,690,480
2012,402,25,105,433,11,468,15,70,3,1,37,3,0.8,1,65,123,120,250,240,320,300,389,360,532,420,686,480
2004,401,25,107,431,11,466,15,70,3,1,37,3,0.9,1,65,122,120,248,240,317,300,386,360,528,420,682,480
1996,399,26,109,429,11,464,15,70,3,1,37,3,0.9,1,65,121,120,246,240,315,300,383,360,524,420,678,480
1988,398,26,111,427,11,462,15,70,3,1,37,4,0.9,1,65,120,120,244,240,312,300,380,360,520,420,674,480
1980,396,27,113,425,11,460,15,70,3,1,38,4,1.0,1,64,119,120,242,240,310,300,377,360,516,420,670,480
1972,394,27,115,423,12,458,18,65,3,1,38,4,1.0,1,64,118,115,240,235,307,295,374,355,512,415,666,475
1964,393,28,117,421,12,456,18,65,3,1,38,4,1.0,1,64,117,115,238,235,305,295,371,355,508,415,662,475
1956,391,28,119,419,12,454,18,65,3,1,38,4,1.1,1,64,116,115,236,235,302,295,368,355,504,415,658,475
1948,390,28,121,417,12,452,18,65,3,1,39,4,1.1,1,63,115,115,234,235,300,295,365,355,500,415,654,475
1940,388,29,123,415,12,450,18,65,3,1,39,4,1.1,1,63,114,115,232,235,297,295,362,355,496,415,650,475
1932,386,29,125,413,12,448,18,65,3,1,39,4,1.2,1,63,113,115,230,235,295,295,359,355,492,415,646,475
1924,385,30,127,411,12,446,18,65,3,1,39,4,1.2,1,63,112,110,228,230,292,290,356,350,488,410,642,470
1916,383,30,129,409,12,444,18,65,3,1,40,4,1.2,1,62,111,110,226,230,290,290,353,350,484,410,638,470
1908,382,31,131,407,12,442,18,65,3,1,40,4,1.3,1,62,110,110,224,230,287,290,350,350,480,410,634,470
1900,380,31,133,405,12,440,18,65,3,1,40,4,1.3,1,62,109,110,222,230,285,290,347,350,476,410,630,470
1892,378,32,135,403,12,438,18,65,3,1,40,4,1.3,1,62,108,110,220,230,282,290,344,350,472,410,626,470
1884,377,32,137,401,12,436,18,65,3,1,41,4,1.4,1,61,107,110,218,230,280,290,341,350,468,410,622,470
1876,375,33,139,399,12,434,18,65,3,1,41,4,1.4,1,61,106,110,216,230,277,290,338,350,464,410,618,470
1868,374,33,141,397,12,432,18,65,3,1,41,4,1.4,1,61,105,105,214,225,275,285,335,345,460,405,614,465
1860,372,33,142,395,12,430,18,65,3,1,41,4,1.5,1,61,104,105,212,225,272,285,332,345,456,405,610,465
1852,370,34,144,393,12,428,18,65,3,1,42,4,1.5,1,60,103,105,210,225,270,285,329,345,452,405,606,465
1844,369,34,146,391,12,426,18,65,3,1,42,4,1.5,1,60,102,105,208,225,267,285,326,345,448,405,602,465
1836,367,35,148,389,12,424,18,65,3,1,42,4,1.6,1,60,101,105,206,225,265,285,323,345,444,405,598,465
1828,366,35,150,387,12,422,18,65,3,1,42,4,1.6,1,60,100,105,204,225,262,285,320,345,440,405,594,465
1820,364,36,152,385,12,420,18,65,3,1,43,4,1.6,1,59,99,105,202,225,260,285,317,345,436,405,590,465
1812,362,36,154,383,12,418,18,65,3,1,43,4,1.7,1,59,98,100,200,220,257,280,314,340,432,400,586,460
1804,361,37,156,381,12,416,18,65,3,1,43,4,1.7,1,59,97,100,198,220,255,280,311,340,428,400,582,460
1800,360,37,157,380,12,415,18,65,3,1,43,4,1.7,1,59,96,100,197,220,253,280,309,340,425,400,579,460
1792,358,38,159,378,13,413,20,60,3,2,44,4,1.8,2,58,95,95,195,210,250,270,306,330,421,390,575,450
1784,357,38,161,376,13,411,20,60,3,2,44,4,1.8,2,58,94,95,193,210,248,270,303,330,417,390,571,450
1776,355,39,163,374,13,409,20,60,3,2,44,4,1.9,2,58,93,95,191,210,245,270,300,330,413,390,567,450
1768,354,39,165,372,13,407,20,60,3,2,44,4,1.9,2,58,92,95,189,210,243,270,297,330,409,390,563,450
1760,352,40,167,370,13,405,20,60,3,2,45,4,2.0,2,57,91,95,187,210,240,270,294,330,405,390,559,450
1752,350,40,169,368,13,403,20,60,3,2,45,4,2.0,2,57,90,95,185,210,238,270,291,330,401,390,555,450
1744,349,41,171,366,13,401,20,60,3,2,45,5,2.1,2,57,89,95,183,210,235,270,288,330,397,390,551,450
1736,347,41,173,364,13,399,20,60,3,2,45,5,2.1,2,57,88,95,181,210,233,270,285,330,393,390,547,450
1728,346,42,175,362,14,397,20,60,3,2,46,5,2.2,2,56,87,90,179,205,230,265,282,325,389,385,543,445
1720,344,42,177,360,14,395,20,60,3,2,46,5,2.2,2,56,86,90,177,205,228,265,279,325,385,385,539,445
1712,342,43,179,358,14,393,20,60,3,2,46,5,2.3,2,56,85,90,175,205,225,265,276,325,381,385,535,445
1704,341,43,181,356,14,391,20,60,3,2,46,5,2.3,2,56,84,90,173,205,223,265,273,325,377,385,531,445
1696,339,44,183,354,14,389,20,60,3,2,47,5,2.4,2,55,83,90,171,205,220,265,270,325,373,385,527,445
1688,338,44,185,352,14,387,20,60,3,2,47,5,2.4,2,55,82,90,169,205,218,265,267,325,369,385,523,445
1680,336,45,187,350,14,385,20,60,3,2,47,5,2.5,2,55,81,90,167,205,215,265,264,325,365,385,519,445
1672,334,45,189,348,14,383,20,60,3,2,47,5,2.5,2,55,80,90,165,205,213,265,261,325,361,385,515,445
1664,333,45,191,346,14,381,20,60,3,2,48,5,2.6,2,54,79,90,163,205,210,265,258,325,357,385,511,445
1656,331,46,193,344,14,379,20,60,3,2,48,5,2.6,2,54,78,90,161,205,208,265,255,325,353,385,507,445
1648,330,46,195,342,15,377,20,55,3,2,48,5,2.7,2,54,77,90,159,205,205,265,252,325,349,385,503,445
1640,328,47,197,340,15,375,20,55,3,2,48,5,2.7,2,54,76,90,157,205,203,265,249,325,345,385,499,445
1632,326,47,200,338,15,373,20,55,3,2,49,5,2.8,2,53,75,90,155,205,200,265,246,325,341,385,495,445
1624,325,48,202,336,15,371,20,55,3,2,49,5,2.8,2,53,74,90,153,205,198,265,243,325,337,385,491,445
1616,323,48,204,334,15,369,20,55,3,2,49,5,2.9,2,53,73,90,151,205,195,265,240,325,333,385,487,445
1608,322,49,206,332,15,367,20,55,3,2,49,5,2.9,2,53,72,90,149,205,193,265,237,325,329,385,483,445
1600,320,49,208,330,15,365,20,55,3,2,50,5,3.0,2,52,71,90,147,205,190,265,234,325,325,385,479,445
1592,318,50,210,328,15,363,20,55,3,2,50,5,3.0,2,52,70,90,145,205,188,265,231,325,321,385,475,445
1584,317,50,212,326,15,361,20,55,3,2,50,5,3.1,2,52,69,90,143,205,185,265,228,325,317,385,471,445
1576,315,51,214,324,15,359,20,55,3,2,50,5,3.1,2,52,68,90,141,205,183,265,225,325,313,385,467,445
1568,314,51,216,322,15,357,20,55,3,2,51,5,3.2,2,51,67,90,139,205,180,265,222,325,309,385,463,445
1560,312,52,218,320,15,355,20,55,3,2,51,5,3.2,2,51,66,90,137,205,178,265,219,325,305,385,459,445
1552,310,52,220,318,15,353,20,55,3,2,51,5,3.3,2,51,65,90,135,205,175,265,216,325,301,385,455,445
1544,309,53,222,316,15,351,20,55,3,2,51,5,3.3,2,51,64,90,133,205,173,265,213,325,297,385,451,445
1536,307,53,224,314,15,349,20,55,3,2,52,5,3.4,2,50,63,90,131,205,170,265,210,325,293,385,447,445
1528,306,54,226,312,15,347,20,55,3,2,52,5,3.4,2,50,62,90,129,205,168,265,207,325,289,385,443,445
1520,304,54,228,310,15,345,20,55,3,2,52,5,3.5,2,50,61,90,127,205,165,265,204,325,285,385,439,445
1512,302,55,230,308,15,343,20,55,3,2,52,5,3.5,2,50,60,90,125,205,163,265,201,325,281,385,435,445
1504,301,55,232,306,15,341,20,55,3,2,53,5,3.6,2,49,59,90,123,205,160,265,198,325,277,385,431,445
1500,300,55,233,305,15,340,20,55,3,2,53,5,3.6,2,49,59,90,122,205,159,265,197,325,275,385,429,445
1492,298,56,236,303,16,338,20,50,3,3,53,5,3.7,2,49,58,85,121,195,157,255,194,315,272,375,425,435
1484,297,56,238,301,16,336,20,50,3,3,53,5,3.7,2,49,57,85,119,195,155,255,191,315,268,375,421,435
1476,295,57,240,299,16,334,20,50,3,3,54,5,3.8,2,48,56,85,117,195,152,255,188,315,264,375,417,435
1468,294,57,242,297,16,332,20,50,3,3,54,5,3.8,2,48,55,85,115,195,150,255,185,315,260,375,413,435
1460,292,58,244,295,16,330,20,50,3,3,54,5,3.9,2,48,54,85,113,195,147,255,182,315,256,375,409,435
1452,290,58,246,293,16,328,20,50,3,3,54,6,3.9,2,48,53,85,111,195,145,255,179,315,252,375,405,435
1444,289,59,248,291,16,326,20,50,3,3,55,6,4.0,2,47,52,85,109,195,142,255,176,315,248,375,401,435
1436,287,59,250,289,16,324,20,50,3,3,55,6,4.0,2,47,51,85,107,195,140,255,173,315,244,375,397,435
