Target_Time_min_sec,Target_Time_sec,VDOT_est,Weekly_KM,Monthly_KM,Tempo_Run_Dist_km,Tempo_Run_Pace_sec_per_km,Long_Run_Dist_km,Long_Run_Pace_sec_per_km,Avg_200m_Rep_Time_sec,Rest_200m_Rep_sec,Avg_300m_Rep_Time_sec,Rest_300m_Rep_sec,Avg_400m_Interval_Time_sec,Rest_400m_Interval_sec,Avg_600m_Interval_Time_sec,Rest_600m_Interval_sec,Avg_150m_SI_Time_sec,Rest_150m_SI_sec,Avg_800m_Interval_Time_sec,Rest_800m_Interval_sec,Age_years,Gender,Competition_Level,VO2max_est,Training_Freq_per_week,Running_History_years,Strength_Freq_per_week,Resting_HR_bpm
1:40.00,100,85.5,105,420,5,185,20,245,23.8,300,36.5,420,51,90,78,180,17.8,240,108,110,24,Male,International Elite,81.2,10,12,2,38
1:42.00,102,83.1,102,408,5,188,20,248,24.2,300,37.2,420,52,90,79.6,180,18.2,240,110.2,110,24,Male,International Elite,79,10,12,2,39
1:44.00,104,80.8,99,396,5,192,19,252,24.7,300,37.9,420,53,90,81.1,180,18.5,240,112.3,115,25,Male,International Elite,76.8,10,11,2,40
1:46.00,106,78.6,96,384,5,196,19,256,25.2,300,38.6,420,54.1,90,82.7,180,18.9,240,114.5,115,25,Male,National Elite,74.7,9,11,2,41
1:48.00,108,76.5,93,372,5,200,18,260,25.7,300,39.4,420,55.1,90,84.2,180,19.2,240,116.6,120,26,Male,National Elite,72.7,9,10,2,42
1:50.00,110,74.5,90,360,5,204,18,264,26.1,300,40.1,420,56.1,90,85.8,180,19.6,240,118.8,120,26,Male,National Elite,70.8,9,10,2,43
1:52.00,112,72.6,87,348,5,208,17,269,26.6,240,40.8,360,57.1,90,87.4,180,20,240,121,120,23,Male,Collegiate/Club,69,8,9,2,44
1:54.00,114,70.8,84,336,5,212,17,273,27.1,240,41.6,360,58.1,90,88.9,180,20.3,240,123.1,125,23,Male,Collegiate/Club,67.3,8,9,2,45
1:56.00,116,69.1,81,324,5,216,16,278,27.6,240,42.3,360,59.2,90,90.5,180,20.7,240,125.3,125,22,Male,Collegiate/Club,65.6,8,8,2,46
1:58.00,118,67.4,78,312,5,221,16,283,28.1,240,43.1,360,60.2,90,92,180,21,240,127.4,130,22,Male,Collegiate/Club,64,7,8,2,47
2:00.00,120,65.8,75,300,5,225,15,288,28.5,240,43.8,360,61.2,90,93.6,180,21.4,240,129.6,130,21,Male,Collegiate/Club,62.5,7,7,2,48
2:02.00,122,64.3,72,288,4,230,15,293,29,180,44.5,300,62.2,90,95.2,180,21.8,180,131.8,130,21,Male,Competitive Amateur,61.1,7,7,2,49
2:04.00,124,62.8,69,276,4,234,14,298,29.5,180,45.3,300,63.2,90,96.7,180,22.1,180,133.9,135,24,Female,National Elite,59.7,6,6,2,50
2:06.00,126,61.4,66,264,4,239,14,303,30,180,46,300,64.3,90,98.3,180,22.5,180,136.1,135,25,Female,National Elite,58.3,6,6,2,51
2:08.00,128,60.1,63,252,4,244,13,309,30.5,180,46.8,300,65.3,90,99.8,180,22.8,180,138.2,140,26,Female,Collegiate/Club,57.1,6,5,2,52
2:10.00,130,58.8,60,240,4,248,13,314,31,180,47.5,300,66.3,90,101.4,180,23.2,180,140.4,140,27,Female,Collegiate/Club,55.9,6,5,2,53
2:12.00,132,57.6,58,232,4,253,12,320,31.4,180,48.3,240,67.3,90,103,150,23.6,180,142.6,145,28,Female,Collegiate/Club,54.7,5,5,1,54
2:14.00,134,56.4,56,224,4,258,12,325,31.9,180,49,240,68.3,90,104.5,150,24,180,144.7,145,29,Female,Collegiate/Club,53.6,5,4,1,54
2:16.00,136,55.3,54,216,4,263,12,331,32.4,180,49.8,240,69.4,90,106.1,150,24.3,180,146.9,150,30,Female,Competitive Amateur,52.5,5,4,1,55
2:18.00,138,54.2,52,208,4,268,11,337,32.9,180,50.5,240,70.4,90,107.6,150,24.7,180,149,150,31,Female,Competitive Amateur,51.5,5,4,1,55
2:20.00,140,53.2,50,200,4,273,11,343,33.4,180,51.3,240,71.4,90,109.2,150,25,180,151.2,150,32,Female,Competitive Amateur,50.5,5,4,1,56
2:22.00,142,52.2,48,192,3,278,11,349,33.8,150,52,240,72.4,90,110.8,150,25.4,150,153.4,155,25,Male,Competitive Amateur,49.6,4,3,1,57
2:24.00,144,51.2,46,184,3,283,10,355,34.3,150,52.8,240,73.4,90,112.3,150,25.7,150,155.5,155,26,Male,Competitive Amateur,48.6,4,3,1,57
2:26.00,146,50.3,45,180,3,288,10,362,34.8,150,53.5,240,74.5,90,113.9,150,26.1,150,157.7,160,27,Male,Competitive Amateur,47.8,4,3,1,58
2:28.00,148,49.4,43,172,3,294,10,368,35.3,150,54.3,240,75.5,90,115.4,150,26.5,150,159.8,160,28,Male,Competitive Amateur,46.9,4,3,1,58
2:30.00,150,48.5,42,168,3,299,10,375,35.7,150,55,240,76.5,90,117,150,26.8,150,162,160,29,Male,Competitive Amateur,46.1,4,3,1,59
2:32.00,152,47.7,40,160,3,304,9,381,36.2,150,55.8,210,77.5,90,118.6,120,27.2,150,164.2,165,30,Female,Competitive Amateur,45.3,4,2,1,60
2:34.00,154,46.9,39,156,3,310,9,388,36.7,150,56.5,210,78.5,90,120.1,120,27.5,150,166.3,165,31,Female,Competitive Amateur,44.6,4,2,1,60
